Date,Open,High,Low,Close,Volume
2019-01-02,62.5,63.810001,62.5,63.09,3045600
2019-01-03,62.360001,62.970001,61.009998,61.099998,3895700
2019-01-04,62.279999,63.799999,61.950001,63.700001,4885600
2019-01-07,63.349998,63.970001,62.799999,63.599998,3940400
2019-01-08,64.269997,64.43,63.439999,64.32,3427500
2019-01-09,64.620003,64.800003,63.98,64.260002,2783000
2019-01-10,63.639999,64.849998,63.5,64.809998,3314000
2019-01-11,64.779999,65.190002,64.580002,64.919998,3320600
2019-01-14,64.459999,65.019997,64.339996,64.629997,4407500
2019-01-15,64.839996,66.25,64.650002,65.989998,3550900
2019-01-16,65.900002,66.080002,65.449997,65.790001,3496900
2019-01-17,65.489998,66.739998,65.199997,66.550003,2367800
2019-01-18,67.550003,68.029999,66.970001,67.82,3904900
2019-01-22,67.300003,67.690002,66.269997,66.800003,3698000
2019-01-23,66.959999,67.449997,66.209999,67.059998,3350200
2019-01-24,67.120003,68.150002,66.919998,68.120003,3336000
2019-01-25,70.25,70.32,69.25,70.019997,4073900
2019-01-28,69.269997,69.379997,68.339996,68.949997,2771000
2019-01-29,69,69.230003,68.379997,68.660004,2902300
2019-01-30,68.730003,70.099998,68.540001,69.800003,3646100
2019-01-31,69.860001,70.309998,69.410004,69.68,3504100
2019-02-01,69.949997,70.940002,69.779999,70.139999,3218600
2019-02-04,70.07,71.510002,69.940002,71.290001,3382100
2019-02-05,71.349998,71.870003,71.110001,71.209999,3978100
2019-02-06,70.019997,74.690002,70,74.5,7242000
2019-02-07,74.18,74.449997,71.419998,72.989998,5880600
2019-02-08,72.459999,73.540001,72.18,73.160004,4613200
2019-02-11,73.349998,73.870003,72.879997,72.970001,3986100
2019-02-12,73.419998,73.620003,72.879997,73.449997,3404000
2019-02-13,74.160004,74.349998,73.18,73.580002,2998300
2019-02-14,73.059998,73.639999,72.919998,73.120003,1496200
2019-02-15,73.709999,74.050003,73.080002,73.559998,2875200
2019-02-19,73.209999,73.57,72.639999,73.18,3955700
2019-02-20,73.269997,73.410004,71.860001,72.25,3171400
2019-02-21,72.099998,72.419998,71.120003,71.339996,4739000
2019-02-22,71.690002,72.419998,71.489998,72.379997,5585400
2019-02-25,72.93,73,72.139999,72.25,4105300
2019-02-26,72.43,72.540001,71.760002,72.040001,3629200
2019-02-27,71.720001,71.720001,70.959999,71.309998,5050400
2019-02-28,71.25,71.760002,70.879997,70.980003,3699300
2019-03-01,70.910004,72.220001,70.800003,72.129997,2947800
2019-03-04,72.559998,72.879997,71.010002,71.760002,3278400
2019-03-05,71.690002,71.989998,71.339996,71.389999,2112900
2019-03-06,71.419998,72.029999,71.190002,71.459999,2691000
2019-03-07,72.32,72.720001,71.660004,72.330002,5296300
2019-03-08,71.610001,72,70.57,71.150002,3912500
2019-03-11,71.370003,72.389999,71.300003,72.349998,3159200
2019-03-12,72.300003,72.610001,71.68,71.779999,3622700
2019-03-13,71.93,72.330002,71.150002,71.209999,3926900
2019-03-14,71.220001,71.470001,70.849998,70.93,2577500
2019-03-15,71.059998,72.360001,70.940002,72.129997,4808900
2019-03-18,72.099998,72.32,71.220001,71.879997,2376900
2019-03-19,72.309998,72.440002,71.800003,72.019997,2537300
2019-03-20,72.169998,72.43,71.32,71.709999,2161300
2019-03-21,71.489998,72.639999,71.410004,72.199997,4141700
2019-03-22,71.959999,72.059998,70.639999,70.889999,2711800
2019-03-25,70.739998,70.889999,70.010002,70.75,1983700
2019-03-26,71.230003,71.730003,70.669998,71.089996,2295500
2019-03-27,71.129997,71.470001,70.32,71.029999,2040300
2019-03-28,71.889999,71.889999,71.040001,71.580002,2495800
2019-03-29,72.019997,72.849998,71.970001,72.449997,4475300
2019-04-01,73,73.980003,72.650002,73.849998,3561900
2019-04-02,73.860001,74.18,73.410004,73.57,3069100
2019-04-03,73.900002,74.849998,73.82,74.18,3483100
2019-04-04,74.300003,74.400002,73.32,73.790001,2221800
2019-04-05,73.849998,74.419998,73.129997,74.199997,2572800
2019-04-08,74.260002,74.449997,73.559998,74.410004,2429000
2019-04-09,73.919998,74.519997,73.720001,74.370003,2036000
2019-04-10,74.449997,74.769997,74.309998,74.599998,1554200
2019-04-11,74.669998,74.779999,74.07,74.190002,2018600
2019-04-12,74.410004,74.5,73.550003,74.290001,2499800
2019-04-15,74.440002,74.580002,73.760002,74.32,1690400
2019-04-16,73,73.169998,71.580002,71.900002,4399500
2019-04-17,72.169998,72.43,71.75,72.150002,3025400
2019-04-18,72.269997,72.269997,70.559998,71.339996,5469600
2019-04-22,70.949997,71.540001,70.370003,71.480003,2046200
2019-04-23,71.769997,73.050003,71.550003,72.849998,6282900
2019-04-24,72.980003,73.5,72.089996,72.669998,3045800
2019-04-25,72.720001,73.110001,72.300003,72.93,2459700
2019-04-26,73.07,73.43,72.639999,73.370003,2216300
2019-04-29,71.150002,72.860001,71.150002,72.400002,3450900
2019-04-30,72.43,73.050003,72.290001,72.959999,3057200
2019-05-01,73.349998,73.379997,72.150002,72.18,3151900
2019-05-02,72.190002,72.970001,65,66.610001,12472500
2019-05-03,60.09,61.5,57.700001,59.25,40551000
2019-05-06,58.560001,60.189999,58.02,59.599998,10181700
2019-05-07,59,59.099998,57.470001,58.509998,10533200
2019-05-08,58.48,59.110001,58.07,58.98,8371200
2019-05-09,58.27,59.279999,58.009998,59.099998,9168200
2019-05-10,58.560001,59.32,58.279999,59.130001,12089700
2019-05-13,58.02,58.169998,56.73,56.880001,12267700
2019-05-14,57.119999,58.299999,56.970001,57.75,7946600
2019-05-15,57.549999,58.77,57.43,58.599998,7812100
2019-05-16,58.459999,58.990002,58.23,58.639999,6956500
2019-05-17,58.009998,59.5,57.810001,59.439999,8199200
2019-05-20,58.830002,60.119999,58.709999,59.990002,10899400
2019-05-21,60.18,61.150002,60.02,61,9828500
2019-05-22,60.610001,62.189999,60.610001,61.5,9350100
2019-05-23,60.959999,61.709999,60.84,61.080002,9080900
2019-05-24,61.5,62.189999,61.220001,61.869999,6435100
2019-05-28,62.139999,62.66,61.880001,62.07,6931000
2019-05-29,61.830002,62.169998,61.549999,61.880001,4540500
2019-05-30,61.939999,62.900002,61.75,62.360001,5059700
2019-05-31,61.73,62.330002,61.73,61.93,5698600
2019-06-03,61.77,62.099998,60.130001,60.540001,7308500
2019-06-04,61.029999,61.540001,58.869999,61.099998,7812800
2019-06-05,61.73,62.240002,61.279999,62.18,6435300
2019-06-06,61.939999,62.150002,61.75,61.900002,5228100
2019-06-07,62.240002,62.98,62.150002,62.779999,2312100
2019-06-10,62.849998,63.43,62.669998,63.029999,3763700
2019-06-11,63.66,63.93,63.02,63.369999,3043200
2019-06-12,63.09,63.389999,62.110001,62.150002,3380200
2019-06-13,62.48,62.560001,61.860001,62.34,6092600
2019-06-14,62,62.220001,61.02,61.639999,5452000
2019-06-17,62,62.990002,61.639999,62.560001,3932000
2019-06-18,63.27,64,63.119999,63.720001,4883700
2019-06-19,63.669998,64,61.900002,62.610001,7179100
2019-06-20,63.299999,64.290001,62.82,64.169998,8717300
2019-06-21,64.120003,64.720001,63.860001,64.459999,8774100
2019-06-24,64.089996,64.480003,63.77,64.050003,5614800
2019-06-25,64.050003,64.150002,63.049999,63.16,4004900
2019-06-26,63.599998,64.220001,63.049999,63.060001,2341500
2019-06-27,63.27,63.450001,62.939999,63.060001,2938100
2019-06-28,63.369999,63.790001,63.169998,63.389999,10908500
2019-07-01,64.470001,65.199997,63.849998,64.279999,3010300
2019-07-02,64.410004,64.550003,63.599998,64.360001,2890900
2019-07-03,64.419998,64.449997,63.790001,64.18,2744800
2019-07-05,63.740002,64.870003,63.689999,64.709999,3056100
2019-07-08,64.410004,64.849998,63.900002,64.199997,3099600
2019-07-09,63.84,64.459999,63.619999,64.379997,3463500
2019-07-10,64.580002,64.959999,63.669998,64.059998,3521800
2019-07-11,64.349998,65.419998,64.089996,65.290001,3204200
2019-07-12,65.57,65.910004,65.190002,65.860001,2787400
2019-07-15,65.900002,66.089996,65.5,65.82,3170500
2019-07-16,65.800003,66.309998,65.349998,65.949997,2262000
2019-07-17,66.209999,66.25,65.120003,65.239998,2820000
2019-07-18,64.779999,66.019997,64.309998,65.93,2480100
2019-07-19,66.059998,66.269997,65.029999,65.139999,4094800
2019-07-22,65.300003,65.910004,65.190002,65.550003,3288700
2019-07-23,65.089996,65.870003,64.889999,65.870003,3460200
2019-07-24,65.540001,65.839996,64.830002,65.760002,4183100
2019-07-25,65.809998,66.010002,65.309998,65.779999,2437700
2019-07-26,65.760002,66.5,65.75,66.400002,1711000
2019-07-29,66.360001,66.470001,65.440002,66.040001,2369700
