Date,Open,High,Low,Close,Volume
2020-10-05,828.799988,839.200012,815.099976,824.200012,11889998
2020-10-06,830,834.5,822.700012,829.150024,7848500
2020-10-07,830,830.599976,823,828.049988,6980002
2020-10-08,857.5,879,844.5,849.549988,25860257
2020-10-09,852.900024,862.5,849.299988,855.75,7286954
2020-10-12,860.799988,871.950012,857.150024,865.799988,8717550
2020-10-13,866.299988,906.599976,863.299988,900.400024,18948618
2020-10-14,904,910.700012,882,890.450012,15441198
2020-10-15,899.950012,903.700012,833.450012,860,15648823
2020-10-16,859,877,820.599976,827.150024,28982990
2020-10-19,839.799988,861.700012,833,844.75,15671485
2020-10-20,846.950012,886,843.599976,879.650024,21563969
2020-10-21,881,891.650024,860,871.049988,11161929
2020-10-22,858.900024,878,851.549988,866.25,9607794
2020-10-23,871,875.450012,850.599976,852.450012,5447267
2020-10-26,853,860.900024,842.049988,847.799988,6612856
2020-10-27,848.950012,857.450012,838.700012,847.25,5807904
2020-10-28,852,852,821.599976,829.599976,6853002
2020-10-29,825,842.5,818.950012,840.049988,6690978
2020-10-30,842.799988,859.700012,833,841.950012,8727274
2020-11-02,841.950012,843.849976,819.200012,822.400024,5953172
2020-11-03,828,832,812.349976,814.049988,7011687
2020-11-04,812.200012,841.75,810.599976,815.150024,10077502
2020-11-05,834,851.099976,830.049988,842.900024,8903859
2020-11-06,846,855.799988,836.400024,850.099976,5871913
2020-11-09,866.799988,872.799988,847.099976,855,7505062
2020-11-10,848.5,848.5,805.75,809.700012,10397497
2020-11-11,813,829,805.349976,826.049988,9779484
2020-11-12,827.150024,837,822,824.700012,4699639
2020-11-13,822.900024,831.450012,818.150024,828.099976,3918289
2020-11-14,null,null,null,null,null
2020-11-17,837.950012,837.950012,814,815,5977903
2020-11-18,819,819.900024,800.25,814.299988,5816221
2020-11-19,815,820.450012,803,804.549988,7170339
2020-11-20,813.950012,823.5,804,819.25,7455575
2020-11-23,825,842,816.25,839.200012,7116516
2020-11-24,843.900024,857.400024,835.349976,840.5,8465615
2020-11-25,840.5,846,822.5,824.700012,5610232
2020-11-26,824.099976,845,819.599976,842.049988,8414555
2020-11-27,842,847.799988,814.349976,822.099976,11723771
2020-12-01,824,835.700012,815.099976,834.099976,8078785
2020-12-02,836.150024,847.450012,831.299988,843.150024,7062229
2020-12-03,848.5,864,843.299988,862.200012,9633229
2020-12-04,866,867.849976,854.450012,858.5,5577388
2020-12-07,858,859.950012,850.400024,855.299988,5314265
2020-12-08,859,875.700012,856,863.799988,8722526
2020-12-09,866.099976,880,864.099976,870.549988,5952003
2020-12-10,870.549988,877.799988,865,866.75,4641898
2020-12-11,871,881.799988,855.200012,862.25,5637035
2020-12-14,866.099976,875.650024,858.099976,873,5143894
2020-12-15,874.700012,889,870,886,7527270
2020-12-16,886.25,892,878.450012,885.049988,4378179
2020-12-17,887,887,877,879.349976,4863371
2020-12-18,894.75,905,886.650024,890.650024,11568187
2020-12-21,886.650024,910.5,850,870.450012,8875855
2020-12-22,879.150024,919.25,872,913.799988,10251896
2020-12-23,920,935,914.799988,922.599976,10723068
2020-12-24,927.950012,928.25,910.700012,919.349976,4390561
2020-12-28,925,927.5,913.5,921.799988,3884750
2020-12-29,929,945,925.25,935.900024,6760167
