Date,Open,High,Low,Close,Volume
2019-01-01,361.5,364.799988,356.399994,363.75,7759872
2019-01-02,361.5,367.899994,360.299988,364.600006,18243156
2019-01-03,365,367.299988,362.049988,363.25,12884409
2019-01-04,361.850006,368.799988,358.049988,365.200012,22896026
2019-01-07,367.5,371,366.549988,367.700012,12719847
2019-01-08,367.799988,381.799988,366.600006,380.149994,21501136
2019-01-09,381.649994,383.549988,375.600006,382.25,21730142
2019-01-10,380.950012,382.149994,376.049988,379.5,14497154
2019-01-11,380.600006,381.200012,375.25,378.549988,12537973
2019-01-14,378.700012,378.700012,372.700012,373.350006,14844029
2019-01-15,373.549988,375.399994,370.600006,372.75,12960779
2019-01-16,372.049988,379.75,372.049988,375.299988,15106484
2019-01-17,376,377.950012,372.799988,374.600006,13171721
2019-01-18,374.600006,376.399994,370.350006,372,12212121
2019-01-21,373,376.149994,370.600006,371.700012,8908581
2019-01-22,370.549988,372.5,366.100006,369.049988,14756076
2019-01-23,368.799988,373.700012,366.450012,367.399994,9726450
2019-01-24,366.600006,368.5,361.75,364.799988,17521254
2019-01-25,362.350006,364.649994,354.549988,357.200012,22978238
2019-01-28,353.200012,354.899994,336.649994,343.549988,34362360
2019-01-29,342.950012,350.100006,341.350006,346.850006,20738442
2019-01-30,351,368.600006,351,365.899994,39400056
2019-01-31,372.700012,376.649994,354.100006,364.450012,85917249
2019-02-01,364.5,364.899994,348.75,354.649994,25605469
2019-02-04,351,356.899994,346,354.549988,17039321
2019-02-05,354.600006,356.100006,348.850006,352.649994,12197271
2019-02-06,353.600006,361.899994,353.200012,359.299988,15396216
2019-02-07,359.100006,361.799988,356.5,358.649994,10247434
2019-02-08,356.899994,358.399994,350.75,355.100006,9308651
2019-02-11,354.600006,354.700012,349.049988,350.049988,9419635
2019-02-12,349,352,343.25,344.299988,14924394
2019-02-14,339.850006,346.850006,336.149994,343.950012,15172596
2019-02-15,344.049988,347.75,340.600006,342.149994,20316848
2019-02-18,342.200012,343,337.549988,338.75,10601490
2019-02-19,339.100006,350.399994,339.100006,343.25,14384763
2019-02-20,345,347.600006,342.350006,345.200012,9474758
2019-02-21,346.799988,354.950012,346.25,351.299988,18631331
2019-02-22,351.399994,354.100006,351.299988,352.049988,10997730
2019-02-25,353.049988,357.450012,353.049988,355.600006,10344411
2019-02-26,350,352.700012,346.600006,348.200012,18096382
2019-02-27,351,354.700012,343.299988,345.549988,17325417
2019-02-28,348.450012,351.75,345,350.149994,18347113
2019-03-01,352.049988,355,350.649994,354.25,14190221
2019-03-05,355,364.149994,352.799988,363.25,17638277
2019-03-06,365.25,372.850006,365.25,371.950012,31436190
2019-03-07,371.5,374,368.5,370.799988,15355303
2019-03-08,369.799988,373.399994,367.649994,370.600006,16143455
2019-03-11,371.799988,378.399994,370,375.850006,11449587
2019-03-12,378,389,377.350006,388.200012,37108265
2019-03-13,387.899994,393.25,384.299988,391.899994,19574619
2019-03-14,392,393,386.799988,387.899994,13182462
2019-03-15,388.850006,398.25,388.100006,395.299988,31466545
2019-03-18,396.25,399.899994,393.5,398.049988,21220626
2019-03-19,398.399994,400.950012,393.899994,398.399994,11670392
2019-03-20,397.600006,398.149994,392.200012,392.899994,14181408
2019-03-22,394.450012,396.299988,390,391.799988,17409249
2019-03-25,387.950012,387.950012,382.5,383.5,12345034
2019-03-26,384.950012,395.5,383.399994,394.100006,14063632
2019-03-27,395.399994,398.450012,390.149994,393.200012,17950017
2019-03-28,392.75,401.899994,392.75,400.549988,23117485
2019-04-01,401.450012,409.549988,395.75,398.25,16106604
2019-04-02,400,400,393.450012,397.149994,13010810
2019-04-03,399,402.799988,390.649994,392.100006,12317200
2019-04-04,394.399994,395.700012,387.299988,388.75,14521564
2019-04-05,389.25,392.5,385.600006,390.549988,10853927
2019-04-08,391.450012,391.450012,385,387.100006,6305407
2019-04-09,387.399994,398.350006,387.149994,397.149994,13206348
2019-04-10,395.549988,398.799988,392.700012,394.200012,14000018
2019-04-11,394.5,394.5,387.549988,390.049988,8704774
2019-04-12,390.600006,395.549988,388.25,394.600006,7035256
2019-04-15,394.200012,396.950012,391.799988,392.75,9770752
2019-04-16,397.5,408.399994,397.5,407,24487788
2019-04-18,411,411,402.600006,404.399994,18660434
2019-04-22,404.25,404.600006,393.700012,394.5,10493872
2019-04-23,396.100006,399.950012,393.600006,396.5,10203957
2019-04-24,397.100006,402.649994,393.450012,401.100006,11397163
2019-04-25,400.899994,402.399994,394.299988,395.399994,16524091
2019-04-26,400,408,394.25,407.200012,14286163
2019-04-30,407.75,409.799988,403.299988,407.5,19375553
2019-05-02,403.700012,405,394.399994,395.549988,16572948
2019-05-03,397.149994,405.200012,394.700012,401.799988,24431248
2019-05-06,396.5,404.899994,394.649994,401.299988,20751521
2019-05-07,398,407.350006,384.299988,386.5,41519416
2019-05-08,386.299988,390,380.100006,382.200012,22509400
2019-05-09,380.950012,385.700012,377.549988,381.399994,19739885
2019-05-10,383.5,389.200012,382.25,385.100006,18361701
