Date,Open,High,Low,Close,Volume
2020-10-05,1018.049988,1054.900024,1018.049988,1048.699951,14212509
2020-10-06,1055,1060,1031.349976,1055.75,9090819
2020-10-07,1044.900024,1072,1035.5,1066.550049,9284008
2020-10-08,1090,1124,1088.400024,1093.699951,21482613
2020-10-09,1095.099976,1113.300049,1088.449951,1106.800049,10567867
2020-10-12,1123,1140,1112.099976,1132.099976,14633537
2020-10-13,1135.550049,1166.050049,1135.550049,1157.800049,17523825
2020-10-14,1162,1164.900024,1131.099976,1137,16649573
2020-10-15,1180,1186,1092.5,1108.25,44288251
2020-10-16,1113.849976,1135.949951,1096.900024,1127.5,18365685
2020-10-19,1135,1139,1115.300049,1125.900024,12902123
2020-10-20,1118.900024,1144.699951,1110,1137.5,10448776
2020-10-21,1141.150024,1154.349976,1135,1148.349976,19811433
2020-10-22,1142,1158,1123.800049,1129.050049,11271335
2020-10-23,1133,1135,1120.150024,1122.5,9069862
2020-10-26,1122.25,1129.599976,1103.150024,1112.449951,6309368
2020-10-27,1105.699951,1109.699951,1077.150024,1090.849976,10172479
2020-10-28,1095.5,1104.75,1070.050049,1076.550049,7608392
2020-10-29,1070,1082,1060.099976,1074.849976,6935616
2020-10-30,1072,1083.599976,1052.349976,1060.599976,8800386
2020-11-02,1065,1079.949951,1051.099976,1072.300049,7183119
2020-11-03,1072,1079.400024,1057.5,1062.550049,7204782
2020-11-04,1068,1116,1066.800049,1093.949951,15702690
2020-11-05,1109.900024,1123,1099,1104,9568890
2020-11-06,1108,1121.099976,1091.699951,1112.75,8807127
2020-11-09,1129.300049,1146,1121.150024,1136.550049,10160320
2020-11-10,1113.849976,1113.849976,1078,1091.050049,15622869
2020-11-11,1096,1126.349976,1087,1122.5,12514800
2020-11-12,1128.099976,1142,1113.75,1117.75,9180976
2020-11-13,1120,1133,1117,1124.199951,6363212
2020-11-14,null,null,null,null,null
2020-11-17,1144.75,1145,1112.650024,1123.699951,12813968
2020-11-18,1128.5,1132.699951,1101.449951,1110.550049,9839468
2020-11-19,1100,1114.699951,1093.800049,1096.75,10092343
2020-11-20,1106,1109,1091.099976,1103.349976,8063554
