Date,Open,High,Low,Close,Volume
2019-01-01,297.5,300.700012,293.850006,299.600006,11837127
2019-01-02,299.100006,302.5,293.100006,293.899994,25559853
2019-01-03,295,295.549988,290.100006,291.100006,17548347
2019-01-04,292.100006,299,291.5,297.649994,19514041
2019-01-07,301.049988,301.5,295.200012,296.299988,14579399
2019-01-08,295.799988,306,294.75,305.299988,22949961
2019-01-09,306,307.100006,300.75,305.299988,21109911
2019-01-10,305.100006,307.5,303.5,305.549988,16295468
2019-01-11,305.399994,306.200012,300.950012,302.75,12702551
2019-01-14,301,303.600006,299.549988,300.399994,10372933
2019-01-15,302,303.600006,301.100006,301.649994,9444374
2019-01-16,303,306.649994,302.100006,303.149994,12111480
2019-01-17,303.899994,304.350006,295.600006,297.399994,15974634
2019-01-18,298.75,299.850006,294.25,294.950012,9082501
2019-01-21,295.899994,296.75,291.450012,292.450012,10188647
2019-01-22,293,293,288.200012,290.25,11297989
2019-01-23,290.450012,292.950012,285.5,286.649994,10304608
2019-01-24,286.649994,289.899994,285.5,288.049988,11532528
2019-01-25,289.600006,291,283.200012,285.399994,11121223
2019-01-28,285.649994,286.600006,277.299988,281.600006,18905470
2019-01-29,281,286,276.549988,280.600006,17435611
2019-01-30,281.200012,289.399994,280.25,287.450012,18908654
2019-01-31,290,294.799988,288,293.649994,25546487
2019-02-01,296.899994,302.700012,282,284.399994,60015958
2019-02-04,282.399994,285.200012,277.850006,283.950012,20642919
2019-02-05,284.200012,287,283,284.649994,13291133
2019-02-06,285.850006,289.75,283.5,289.049988,12149759
2019-02-07,289.399994,294,286.600006,287.399994,19733315
2019-02-08,285.600006,288,282.200012,286,19781908
2019-02-11,285.950012,285.950012,280,280.5,15420017
2019-02-12,280.649994,282.200012,274.649994,275.399994,15326106
2019-02-14,268,268.350006,263.649994,267.100006,26372671
2019-02-15,268.850006,268.850006,261.299988,262.950012,23366091
2019-02-18,264.399994,265.5,258.799988,259.950012,14781744
2019-02-19,260.899994,267.5,260.299988,262.899994,19064306
2019-02-20,264.5,268.299988,264.299988,267.700012,15514595
2019-02-21,270.299988,271,267.299988,268,13760702
2019-02-22,267.899994,271.899994,267.600006,270.950012,12536918
2019-02-25,271.299988,271.399994,267.899994,270.149994,20793897
2019-02-26,266.799988,268.200012,263.25,266.350006,15274303
2019-02-27,268,272.700012,266.549988,267.649994,20571652
2019-02-28,267.700012,270.799988,267.649994,269.049988,31636468
2019-03-01,270.549988,274.600006,270.100006,272.950012,20024726
2019-03-05,271.700012,277.850006,271.200012,276.450012,21533972
2019-03-06,277.299988,282.549988,276.450012,278.100006,22161376
2019-03-07,279.450012,282.5,277.649994,281.75,14899105
2019-03-08,281.850006,284.25,279.600006,281.200012,19943319
2019-03-11,285.299988,289,283.5,287.350006,22931245
2019-03-12,289.200012,289.899994,285.75,286.899994,20828136
2019-03-13,288.100006,294.399994,284.700012,293.149994,23725641
2019-03-14,294.5,294.700012,290.75,291.899994,16164017
2019-03-15,292.600006,301.299988,292.5,298.399994,37928480
2019-03-18,298.899994,300.899994,294.649994,298.950012,23782967
2019-03-19,300.149994,306.600006,299.149994,303.049988,27218691
2019-03-20,302.799988,304.649994,300.049988,303.799988,18820555
2019-03-22,304.299988,306.399994,296.950012,298.049988,17865957
2019-03-25,294,295.450012,292.200012,294,16895511
